==640049== NVPROF is profiling process 640049, command: ./sciara_cuda_cfamo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==640049== Profiling application: ./sciara_cuda_cfamo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==640049== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,us,us,us,
"GPU activities",40.753602,2.610838,112000,23.311000,15.104000,42.304000,"[CUDA memcpy DtoD]"
"GPU activities",29.838118,1.911549,16000,119.471000,31.072000,373.441000,"kernel_CfA_Mo(int, int, double*, double*, double*, double*, double*, double, double, double, double, double)"
"GPU activities",12.457863,0.798100,16000,49.881000,14.848000,90.272000,"kernel_computeNewTemperatureAndSolidification(int, int, double, double, double, double, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, bool*)"
"GPU activities",9.758715,0.625182,16000,39.073000,37.664000,44.576000,"kernel_initBuffers(int, int, double*, double*, double*, double*)"
"GPU activities",3.750858,0.240295,16000,15.018000,14.240000,18.656000,"kernel_emitLava(int, int, int*, int*, double*, int, double, double*, double*, double*)"
"GPU activities",3.431805,0.219855,16000,13.740000,12.512000,19.712000,"kernel_normalizeTemperature(int, int, double*, double*)"
"GPU activities",0.006506,0.000417,32,13.025000,4.416000,23.457000,"kernel_reduceAdd(double*, double*, int)"
"GPU activities",0.002487,0.000159,9,17.703000,4.512000,72.833000,"[CUDA memset]"
"GPU activities",0.000046,0.000003,2,1.472000,1.344000,1.600000,"[CUDA memcpy HtoD]"

==640049== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",16004,4.202148KB,4.000000KB,1.125000MB,65.679688MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",48121,21.474609KB,4.000000KB,508.000000KB,0.985550GB,0.000000,"Device To Host"
Total CPU Page faults: 16060
