==628956== NVPROF is profiling process 628956, command: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 1000 100 1.0
==628956== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==628956== Profiling application: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 1000 100 1.0
==628956== Profiling result:
==628956== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"gld_transactions","Global Load Transactions",199842,327378,271000
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"gst_transactions","Global Store Transactions",16,6596,3573
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"local_store_transactions","Local Store Transactions",3,1208,664
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"l2_read_transactions","L2 Read Transactions",58413,76901,67716
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"l2_write_transactions","L2 Write Transactions",25,7810,4243
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"dram_read_transactions","Device Memory Read Transactions",48984,50930,49867
"NVIDIA GeForce GTX 980 (0)","kernel_computeOutflows(int, int, double*, double*, double*, double*, double, double, double, double, double)",1000,"dram_write_transactions","Device Memory Write Transactions",23490,28408,26397
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance(int, int, double*, double*, double*, double*, double*)",1000,"gld_transactions","Global Load Transactions",5152514,5152514,5152514
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance(int, int, double*, double*, double*, double*, double*)",1000,"gst_transactions","Global Store Transactions",8,1646,892
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance(int, int, double*, double*, double*, double*, double*)",1000,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance(int, int, double*, double*, double*, double*, double*)",1000,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance(int, int, double*, double*, double*, double*, double*)",1000,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance(int, int, double*, double*, double*, double*, double*)",1000,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance(int, int, double*, double*, double*, double*, double*)",1000,"shared_store_transactions","Shared Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance(int, int, double*, double*, double*, double*, double*)",1000,"l2_read_transactions","L2 Read Transactions",1509127,1509715,1509168
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance(int, int, double*, double*, double*, double*, double*)",1000,"l2_write_transactions","L2 Write Transactions",14,1652,898
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance(int, int, double*, double*, double*, double*, double*)",1000,"dram_read_transactions","Device Memory Read Transactions",498823,509828,505017
"NVIDIA GeForce GTX 980 (0)","kernel_massBalance(int, int, double*, double*, double*, double*, double*)",1000,"dram_write_transactions","Device Memory Write Transactions",29645,33613,32273
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"gld_transactions","Global Load Transactions",386,195434,97910
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"gst_transactions","Global Store Transactions",1,382,191
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"shared_load_transactions","Shared Load Transactions",45,17190,8617
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"shared_store_transactions","Shared Store Transactions",40,15280,7660
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"l2_read_transactions","L2 Read Transactions",119,49088,24531
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"l2_write_transactions","L2 Write Transactions",7,388,197
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"dram_read_transactions","Device Memory Read Transactions",0,24457,5684
"NVIDIA GeForce GTX 980 (0)","kernel_reduceAdd(double*, double*, int)",20,"dram_write_transactions","Device Memory Write Transactions",0,9916,647
